# Array definition for CST antenna array tools
# unit: meters
# Element	X 	Y 	Z 	Magnitude	Phase	Phi	Theta	Gamma
83	0.0208875000000000	0.0498930000000000	0	0.00603355158230805	-142.084226598615	0	0	0
84	0.0291431000000000	0.0498930000000000	0	0.00547792255919966	-79.9609180351609	0	0	0
85	0.0421765000000000	0.0498930000000000	0	0.00852858745230056	73.6974826705670	0	0	0
86	0.0498930000000000	0.0498930000000000	0	0.00674718361396296	129.388142320839	0	0	0
87	0.0719496000000000	0.0498930000000000	0	0.00968735852556513	-22.6512681154818	0	0	0
88	0.0851416000000000	0.0498930000000000	0	0.0112720483437333	131.399938221067	0	0	0
89	0.106751500000000	0.0498930000000000	0	0.00528417909744616	-15.6414830335553	0	0	0
90	0.121335300000000	0.0498930000000000	0	0.0121913980500511	113.738433381550	0	0	0
91	0.127639000000000	0.0498930000000000	0	0.00815244093545025	-163.743770543197	0	0	0
92	0.135894600000000	0.0498930000000000	0	0.00512300667905673	-110.060300777400	0	0	0
93	0.148928000000000	0.0498930000000000	0	0.00524588664541474	50.8197956437863	0	0	0
94	0.156644500000000	0.0498930000000000	0	0.00385604746733711	102.412983257848	0	0	0
95	0.178701100000000	0.0498930000000000	0	0.00117484199260537	-50.7911480379312	0	0	0
96	0.191893100000000	0.0498930000000000	0	0.000268457355264374	108.198888178747	0	0	0
97	0	0.0719496000000000	0	0.00130078014225511	-3.97381085698782	0	0	0
98	0.0145838000000000	0.0719496000000000	0	0.00576294221895557	133.934245737625	0	0	0
99	0.0208875000000000	0.0719496000000000	0	0.00553883983325873	-142.084263363993	0	0	0
100	0.0291431000000000	0.0719496000000000	0	0.00502876875427242	-79.9609548005386	0	0	0
101	0.0421765000000000	0.0719496000000000	0	0.00782929908824324	73.6974459051893	0	0	0
102	0.0498930000000000	0.0719496000000000	0	0.00619395870798749	129.388105555461	0	0	0
103	0.0719496000000000	0.0719496000000000	0	0.00889305851594843	-22.6513048808595	0	0	0
104	0.0851416000000000	0.0719496000000000	0	0.0103478141384854	131.399901455689	0	0	0
